date_time,PM1d,PM25d,PM10d,PM1p,PM10p,PM25p,pm1diff,pm25diff,pm10diff
2020-02-24 00:00:00,0.0,0.0,0.0,0.1372413793103448,1.6762068965517238,0.9320689655172413,-0.1372413793103448,-0.9320689655172413,-1.6762068965517238
2020-02-24 01:00:00,0.0,0.0,0.0,0.22800000000000004,1.8756666666666668,1.1283333333333332,-0.22800000000000004,-1.1283333333333332,-1.8756666666666668
2020-02-24 02:00:00,0.0,0.0,0.0,0.502,2.8326666666666664,1.6526666666666665,-0.502,-1.6526666666666665,-2.8326666666666664
2020-02-24 03:00:00,0.0,0.0,0.0,0.49899999999999983,2.691,1.630666666666667,-0.49899999999999983,-1.630666666666667,-2.691
2020-02-24 04:00:00,0.0,0.0,0.0,0.8089999999999998,3.7553333333333336,2.194666666666667,-0.8089999999999998,-2.194666666666667,-3.7553333333333336
2020-02-24 05:00:00,0.0,0.0,0.0,0.5779999999999998,3.4123333333333337,1.8763333333333334,-0.5779999999999998,-1.8763333333333334,-3.4123333333333337
2020-02-24 06:00:00,0.0,0.0,0.0,0.42433333333333334,2.531333333333332,1.4746666666666666,-0.42433333333333334,-1.4746666666666666,-2.531333333333332
2020-02-24 07:00:00,0.0,0.0,0.0,0.192,1.772,1.0826666666666669,-0.192,-1.0826666666666669,-1.772
2020-02-24 08:00:00,0.0,0.0,0.0,0.30299999999999994,2.5893333333333333,1.4276666666666666,-0.30299999999999994,-1.4276666666666666,-2.5893333333333333
2020-02-24 09:00:00,0.0,0.00125,0.00125,0.8556666666666667,4.424333333333334,2.575333333333333,-0.8556666666666667,-2.574083333333333,-4.423083333333334
2020-02-24 10:00:00,0.0,0.020555555555555556,0.041666666666666664,1.1973333333333336,4.94,2.9539999999999997,-1.1973333333333336,-2.933444444444444,-4.898333333333333
2020-02-24 11:00:00,0.0,0.04466666666666667,0.082,1.5130000000000006,5.552333333333334,3.620333333333334,-1.5130000000000006,-3.575666666666667,-5.470333333333334
2020-02-24 12:00:00,0.0,0.02333333333333333,0.04666666666666666,1.301,4.9816666666666665,3.298333333333333,-1.301,-3.2749999999999995,-4.935
2020-02-24 13:00:00,0.0,0.0,0.0,1.0979999999999999,4.228999999999999,2.6106666666666665,-1.0979999999999999,-2.6106666666666665,-4.228999999999999
2020-02-24 14:00:00,0.0,0.0,0.0,1.3140000000000003,4.315666666666667,2.8843333333333336,-1.3140000000000003,-2.8843333333333336,-4.315666666666667
2020-02-24 15:00:00,0.0,0.0,0.0,2.008666666666667,6.215,4.409333333333333,-2.008666666666667,-4.409333333333333,-6.215
2020-02-24 16:00:00,0.0,0.0038888888888888883,0.0038888888888888883,2.677333333333333,8.024,5.884333333333334,-2.677333333333333,-5.8804444444444455,-8.02011111111111
2020-02-24 17:00:00,0.0,0.03125,0.060000000000000005,2.2726666666666664,6.460333333333333,4.967333333333333,-2.2726666666666664,-4.936083333333333,-6.400333333333333
2020-02-24 18:00:00,0.0,0.00125,0.0025,1.8616666666666661,5.804999999999999,4.1146666666666665,-1.8616666666666661,-4.113416666666667,-5.802499999999998
2020-02-24 19:00:00,0.0,0.0025,0.0025,1.4966666666666673,4.5360000000000005,3.055,-1.4966666666666673,-3.0525,-4.5335
2020-02-24 20:00:00,0.0,0.0,0.0,1.026333333333333,3.14,2.0523333333333333,-1.026333333333333,-2.0523333333333333,-3.14
2020-02-24 21:00:00,0.0,0.0,0.0,0.8376666666666668,2.5706666666666664,1.811666666666667,-0.8376666666666668,-1.811666666666667,-2.5706666666666664
2020-02-24 22:00:00,0.0,0.0,0.0,0.6403333333333333,2.1600000000000006,1.5286666666666666,-0.6403333333333333,-1.5286666666666666,-2.1600000000000006
2020-02-24 23:00:00,0.0,0.0,0.0,0.6646666666666667,2.1423333333333328,1.4883333333333333,-0.6646666666666667,-1.4883333333333333,-2.1423333333333328
2020-02-25 00:00:00,0.0,0.0,0.0,0.9316666666666665,2.6790000000000007,1.8413333333333328,-0.9316666666666665,-1.8413333333333328,-2.6790000000000007
2020-02-25 01:00:00,0.0,0.0,0.0,0.9916666666666666,2.9570000000000003,2.0540000000000003,-0.9916666666666666,-2.0540000000000003,-2.9570000000000003
2020-02-25 02:00:00,0.0,0.0,0.0,1.317,3.7656666666666667,2.682000000000001,-1.317,-2.682000000000001,-3.7656666666666667
2020-03-01 23:00:00,0.0,0.0,0.0,2.229,3.8340000000000005,3.4303333333333343,-2.229,-3.4303333333333343,-3.8340000000000005
2020-03-02 00:00:00,0.0,0.0,0.0,1.9666666666666666,3.3203333333333327,2.846333333333334,-1.9666666666666666,-2.846333333333334,-3.3203333333333327
2020-03-02 01:00:00,0.0,0.0,0.0,2.5489999999999995,4.349333333333334,3.773000000000001,-2.5489999999999995,-3.773000000000001,-4.349333333333334
2020-03-02 02:00:00,0.0,0.0,0.0,2.393,4.443,3.775000000000001,-2.393,-3.775000000000001,-4.443
2020-03-02 03:00:00,0.0,0.0,0.0,5.9319999999999995,9.436,8.446666666666665,-5.9319999999999995,-8.446666666666665,-9.436
2020-03-02 04:00:00,0.0,0.024166666666666666,0.03,5.704333333333333,9.102666666666664,8.077666666666666,-5.704333333333333,-8.0535,-9.072666666666665
2020-03-02 05:00:00,0.0,0.15,0.18833333333333335,6.417666666666665,11.004999999999999,9.839,-6.417666666666665,-9.689,-10.816666666666666
2020-03-02 06:00:00,0.0,0.02333333333333333,0.03,5.044,8.576666666666664,7.581999999999999,-5.044,-7.5586666666666655,-8.546666666666665
