local_timestamp,datetime,node_id,pm_pct_fs,epoch,julian_day,CO2_QC_level,PM_QC_level,CO2_ppm,PM_ug/m3
2017-11-18 18:00:00,2017-11-19 02:00:00,56,0.08522,1511056800.0,323.0833333333333,1a,2,410.6,2.0339817
2017-11-18 19:00:00,2017-11-19 03:00:00,56,0.06764,1511060400.0,323.125,1a,2,414.0,1.7017197
2017-11-18 20:00:00,2017-11-19 04:00:00,56,0.06954,1511064000.0,323.1666666666667,1a,2,430.0,1.7376296999999998
2017-11-18 21:00:00,2017-11-19 05:00:00,56,0.07119,1511067600.0,323.2083333333333,1a,2,415.1,1.7688146999999999
2017-11-18 22:00:00,2017-11-19 06:00:00,56,0.0777,1511071200.0,323.25,1,2,-999,1.8949154999999998
2017-11-18 23:00:00,2017-11-19 07:00:00,56,0.05528,1511074800.0,323.2916666666667,1a,2,423.6,1.4711774999999998
2017-11-19 00:00:00,2017-11-19 08:00:00,56,0.05284,1511078400.0,323.3333333333333,1a,2,420.8,1.4250614999999998
2017-11-19 01:00:00,2017-11-19 09:00:00,56,0.08245,1511082000.0,323.375,1a,2,421.9,1.9846904999999997
2017-11-19 02:00:00,2017-11-19 10:00:00,56,0.09618,1511085600.0,323.4166666666667,1a,2,423.7,2.2441875
2017-11-19 03:00:00,2017-11-19 11:00:00,56,0.08034,1511089200.0,323.4583333333333,1a,2,423.3,1.9448114999999997
2017-11-19 04:00:00,2017-11-19 12:00:00,56,0.07834,1511092800.0,323.5,1a,2,424.5,1.9070114999999999
2017-11-19 05:00:00,2017-11-19 13:00:00,56,0.10759,1511096400.0,323.5416666666667,1a,2,436.4,2.4598364999999998
2017-11-19 06:00:00,2017-11-19 14:00:00,56,0.11666,1511100000.0,323.5833333333333,1a,2,455.9,2.6312594999999996
2017-11-19 07:00:00,2017-11-19 15:00:00,56,0.13206,1511103600.0,323.625,1,2,-999,2.9331303
2017-11-19 08:00:00,2017-11-19 16:00:00,56,0.16531,1511107200.0,323.6666666666667,1a,2,449.0,3.5615553
2017-11-19 09:00:00,2017-11-19 17:00:00,56,0.13888,1511110800.0,323.7083333333333,1,2,-999,3.0620282999999997
2017-11-19 10:00:00,2017-11-19 18:00:00,56,0.15361,1511114400.0,323.75,1a,2,483.9,3.3404252999999997
2017-11-19 11:00:00,2017-11-19 19:00:00,56,0.15607,1511118000.0,323.7916666666667,1a,2,483.6,3.3869192999999997
2017-11-19 12:00:00,2017-11-19 20:00:00,56,0.14321,1511121600.0,323.8333333333333,1a,2,472.1,3.1438653
2017-11-19 13:00:00,2017-11-19 21:00:00,56,0.17852,1511125200.0,323.875,1a,2,464.4,3.8112243
2017-11-19 14:00:00,2017-11-19 22:00:00,56,0.1226,1511128800.0,323.9166666666667,1a,2,452.3,2.7543362999999994
2017-11-19 15:00:00,2017-11-19 23:00:00,56,0.12949,1511132400.0,323.9583333333333,1a,2,446.0,2.8845573
2017-11-19 16:00:00,2017-11-20 00:00:00,56,0.12138,1511136000.0,324.0,1a,2,441.9,2.7312782999999996
2017-11-19 17:00:00,2017-11-20 01:00:00,56,0.11428,1511139600.0,324.0416666666667,1a,2,439.6,2.5970883000000002
