unix_time,value
1483262580.0,nan
1483264980.0,nan
1483267380.0,nan
1483269780.0,nan
1483272180.0,nan
1483274580.0,nan
1483276980.0,nan
1483279380.0,nan
1483281780.0,nan
1483284180.0,nan
1483286580.0,nan
1483288980.0,nan
1483291380.0,nan
1483293780.0,nan
1483296180.0,nan
1483298580.0,nan
1483300980.0,nan
1483303380.0,nan
1483305780.0,nan
1483308180.0,nan
1483310580.0,nan
1483312980.0,nan
1483315380.0,nan
1483317780.0,nan
1483320180.0,nan
1483322580.0,nan
1483324980.0,nan
1483327380.0,nan
1483329780.0,nan
1483332180.0,nan
1483334580.0,nan
1483336980.0,nan
1483339380.0,nan
1483341780.0,nan
1483344180.0,nan
1483346580.0,nan
1483348980.0,nan
1483351380.0,nan
1483353780.0,nan
1483356180.0,nan
1483358580.0,nan
1483360980.0,nan
1483363380.0,nan
1483365780.0,nan
1483368180.0,nan
1483370580.0,nan
1483372980.0,nan
1483375380.0,nan
1483377780.0,nan
1483380180.0,nan
1483382580.0,nan
1483384980.0,nan
1483387380.0,nan
1483389780.0,nan
1483392180.0,nan
1483394580.0,nan
1483396980.0,nan
1483399380.0,nan
1483401780.0,nan
1483404180.0,nan
1483406580.0,nan
1483408980.0,nan
1483411380.0,nan
1483413780.0,nan
1483416180.0,nan
1483418580.0,nan
1483420980.0,nan
1483423380.0,nan
1483425780.0,nan
1483428180.0,nan
1483430580.0,nan
1483432980.0,nan
1483435380.0,nan
1483437780.0,nan
1483440180.0,nan
1483442580.0,nan
1483444980.0,nan
1483447380.0,nan
1483449780.0,nan
1483452180.0,nan
1483454580.0,nan
1483456980.0,nan
1483459380.0,nan
1483461780.0,nan
1483464180.0,nan
1483466580.0,nan
1483468980.0,nan
1483471380.0,nan
1483473780.0,nan
1483476180.0,nan
1483478580.0,nan
1483480980.0,nan
1483483380.0,nan
1483485780.0,nan
1483488180.0,nan
1483490580.0,nan
1483492980.0,nan
1483495380.0,nan
1483497780.0,nan
1483500180.0,nan
1483502580.0,nan
1483504980.0,nan
1483507380.0,nan
1483509780.0,nan
1483512180.0,nan
1483514580.0,nan
1483516980.0,nan
1483519380.0,nan
1483521780.0,nan
1483524180.0,nan
1483526580.0,nan
1483528980.0,nan
1483531380.0,nan
1483533780.0,nan
1483536180.0,nan
1483538580.0,nan
1483540980.0,nan
1483543380.0,nan
1483545780.0,nan
1483548180.0,nan
1483550580.0,nan
1483552980.0,nan
1483555380.0,nan
1483557780.0,nan
1483560180.0,nan
1483562580.0,nan
1483564980.0,nan
1483567380.0,nan
1483569780.0,nan
1483572180.0,nan
1483574580.0,nan
1483576980.0,nan
1483579380.0,nan
1483581780.0,nan
1483584180.0,nan
1483586580.0,nan
1483588980.0,nan
1483591380.0,nan
1483593780.0,nan
1483596180.0,nan
1483598580.0,nan
1483600980.0,nan
1483603380.0,nan
1483605780.0,nan
1483608180.0,nan
1483610580.0,nan
1483612980.0,nan
1483615380.0,nan
1483617780.0,nan
1483620180.0,nan
1483622580.0,nan
1483624980.0,nan
1483627380.0,nan
1483629780.0,nan
1483632180.0,nan
1483634580.0,nan
1483636980.0,nan
1483639380.0,nan
1483641780.0,nan
1483644180.0,nan
1483646580.0,nan
1483648980.0,nan
1483651380.0,nan
1483653780.0,nan
1483656180.0,nan
1483658580.0,nan
1483660980.0,nan
1483663380.0,nan
1483665780.0,nan
1483668180.0,nan
1483670580.0,nan
1483672980.0,nan
1483675380.0,nan
1483677780.0,nan
1483680180.0,nan
1483682580.0,nan
1483684980.0,nan
1483687380.0,nan
1483689780.0,nan
1483692180.0,nan
1483694580.0,nan
1483696980.0,nan
1483699380.0,nan
1483701780.0,nan
1483704180.0,nan
1483706580.0,nan
1483708980.0,nan
1483711380.0,nan
1483713780.0,nan
