date_time,PM1d,PM25d,PM10d,PM1p,PM10p,PM25p,pm1abs(d-p),pm25abs(d-p),pm10abs(d-p)
2020-05-12 09:00:00,0.0,0.07083333333333335,0.08083333333333333,5.653333333333336,8.660333333333332,0.0,5.653333333333336,0.07083333333333335,8.5795
2020-05-12 10:00:00,0.0,0.5833333333333334,0.6925,7.172666666666666,11.20566666666667,0.0,7.172666666666666,0.5833333333333334,10.513166666666669
2020-05-12 11:00:00,0.02,0.9941666666666666,1.5441666666666665,7.9529999999999985,12.953999999999995,0.0,7.932999999999999,0.9941666666666666,11.409833333333328
2020-05-12 12:00:00,0.011666666666666667,0.9125,1.3316666666666668,8.748000000000003,15.423666666666666,0.0,8.736333333333336,0.9125,14.091999999999999
2020-05-12 13:00:00,0.36833333333333335,1.3608333333333331,2.0141666666666667,9.409666666666668,17.121666666666666,0.0,9.041333333333334,1.3608333333333331,15.1075
2020-05-12 14:00:00,0.24666666666666667,1.2383333333333333,1.8475000000000001,10.356999999999994,17.144666666666662,0.0,10.110333333333328,1.2383333333333333,15.297166666666662
2020-05-12 15:00:00,0.6616666666666667,1.8350000000000002,2.535833333333334,9.674000000000003,14.449333333333334,0.0,9.012333333333336,1.8350000000000002,11.913499999999999
2020-05-12 16:00:00,0.057499999999999996,0.8741666666666665,1.1841666666666668,7.751666666666663,11.749000000000002,0.0,7.694166666666663,0.8741666666666665,10.564833333333336
2020-05-12 17:00:00,0.0,0.2191666666666667,0.24750000000000003,8.578999999999997,12.842333333333327,0.0,8.578999999999997,0.2191666666666667,12.594833333333327
2020-05-12 18:00:00,0.5441666666666666,1.4783333333333335,2.035833333333334,8.633000000000001,12.362666666666662,0.0,8.088833333333334,1.4783333333333335,10.326833333333328
2020-05-12 19:00:00,0.0,0.0,0.0,3.064,4.3646666666666665,0.0,3.064,0.0,4.3646666666666665
2020-05-12 20:00:00,0.0,0.0,0.0,2.962666666666667,4.161333333333334,0.0,2.962666666666667,0.0,4.161333333333334
2020-05-12 21:00:00,0.0,0.0,0.0,2.6600000000000015,3.5900000000000007,0.0,2.6600000000000015,0.0,3.5900000000000007
2020-05-12 22:00:00,0.0,0.0,0.0,1.5799999999999998,2.174666666666666,0.0,1.5799999999999998,0.0,2.174666666666666
2020-05-12 23:00:00,0.0,0.0,0.0,0.6017241379310344,1.0624137931034483,0.0,0.6017241379310344,0.0,1.0624137931034483
2020-05-13 00:00:00,0.0,0.0,0.0,1.1139999999999999,2.203,0.0,1.1139999999999999,0.0,2.203
